,job_title,job_link,company_name,salary,job_location,job_requirements,job_classifiation,short_description,salary_ind
17,Inventory Analyst,/job/55291501?type=standard#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Waikato District Health Board,,Waikato,,"Manufacturing, Transport & Logistics",Use your brilliant analyst skills to drive inventory improvements for the Waikato DHB.,0-60000
18,Whānau Ora - Data Administrator,/job/55267452?type=standard#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Nga Mataapuna Oranga Limited,,Bay of Plenty,,Information & Communication Technology,Improving outcomes for Whānau by providing strong data analysis and reporting across our Provider Network,0-60000
19,Fruit Performance Analyst,/job/55308156?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,EastPack Ltd,,Bay of Plenty,"['Looking to join a great team?', 'Do you have a passion for data analysis?', 'We have great career opportunities for people with the right attitude!']","Farming, Animals & Conservation","If understanding data that enables great business decisions excites you, then check out this exciting opportunity to use your analysis skills!",0-60000
20,Intelligence Analyst,/job/55255026?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,New Zealand Police,"INTLA4SD $61,113.00 - $79,087.00",Manawatu,,Consulting & Strategy,Intelligence Analyst,0-60000
21,Graduate Data Analyst,/job/55086853?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Datamine Limited,,Auckland,"[""A work environment where you're challenged and supported every day"", 'Amazing team environment, a collaborative and social place to work', 'Learn and become productive working on real world problems']",Information & Communication Technology,"We are looking for some graduate superstars to join the team at Datamine, an industry leader in the data and analytics space for 25 years.",0-60000
44,Pricing Specialist,/job/55224906?type=promoted#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,Chemfreight,,Auckland,"['- Successful growing business', '- Monday - Friday: 40 hour working week', '- Onsite Parking']","Manufacturing, Transport & Logistics",Want to explore opportunities in your transport and logistics career? Well this Pricing Specialist role may just be the next step for you!,0-60000
46,Invoicing Admin Assistant - Data Entry - General support person,/job/55297069?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,Advantage South,,Otago,"['Join a fun, busy admin team doing valuable work in the South Island community', 'Flexible hours and flexible days, generous hourly rate for right candidate', 'Need a financially savvy team player - accurate and fast, friendly and fun']",Administration & Office Support,Fun team environment - invoicing and data entry role for a reputable supplier working in the Physical Health and Mental Wellbeing sectors.,0-60000
47,Graduate Business Insight Analyst,/job/55191856?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,KiwiRail,,Auckland,"['Develop your career with Kiwirail', '5 weeks annual leave', 'Access to discounted holiday homes and health insurance']",Banking & Financial Services,Join an iconic NZ organisation that has been operating for over 150 years,0-60000
48,Assistant Strategy Analyst,/job/55293956?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,Honda New Zealand Limited,,Auckland,"['Newmarket Location', 'Join a team of fantastic people and enjoy diversity and growth', 'Lots of opportunity to learn and grow.']",Consulting & Strategy,Looking for where to jump-start and progress your career? Join an innovative and global organization where you'll have access to endless opportunities,0-60000
49,Business Analyst,/job/55321073?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,Whakatane District Council,,Bay of Plenty,"['Full-time position', 'Location: Whakatane']",Information & Communication Technology,"The Whakatāne District Council is seeking a savvy, solution-focused Business Analysts to join our outstanding Corporate and Information Services team.",0-60000
50,Geohazard Analyst,/job/55318061?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,GNS Science,+ Kiwisaver + Income Protection + Insurance,Wellington,"['Analyse and catalogue New Zealand seismicity', 'Monitor warning systems for Volcanic unrest/eruption']",Science & Technology,"Contribute to the safety of NZ by actively monitoring, analysing, and responding to geological hazard data to provide 24/7 situational awareness.",0-60000
51,Data and Systems Administrator,/job/55265885?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,Manukau Urban Maori Authority,,Auckland,"['Career development and excellent learning opportunities', 'Challenging and Rewarding Opportunity', 'Permanent Full -Time opportunity']",Information & Communication Technology,Are you looking to step into a Data and Systems Administrator role? Career development and excellent learning opportunities,0-60000
52,Warehouse Data Analyst,/job/55192370?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,Linfox Logistics,,Auckland,"['A competitive salary', 'A great, friendly, and helpful team to work with', 'Ongoing training and development']","Manufacturing, Transport & Logistics",A unique opportunity has arisen for an experienced Warehouse Data Analyst to join our Auckland-based team.,0-60000
53,Data Entry Operator - Print,/job/55218230?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,AGB NIELSEN MEDIA RESEARCH (NEW ZEALAND) LIMITED,,Auckland,"['Flexible working arrangement', 'Promote working from home until lockdown free']",Administration & Office Support,You will clip the advertisements and capture the necessary attributes to enter them into our production system.,0-60000
54,Oracle Data Administrator-Penrose,/job/55267391?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,Alpha Recruitment - NZ,,Auckland,"['6-8 month assignment', 'Penrose Location', 'Large Complex Organisation']",Administration & Office Support,Utilise your Oracle and data analysis experience assisting a busy team working within the health Sector.  6-8 month assignment.  Penrose Locaiton,0-60000
55,Data & Operations Analyst,/job/55175292?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,DOWNER NZ,,Auckland,"['Advance your career and expand your skills', 'Be part of a company shaping the future of New Zealand', 'Competitive remuneration and great company benefits']",Administration & Office Support,Progress your career in Downer with this challenging role in the Energy team!,0-60000
56,"GIS/Asset Data Technician (Auckland, Wellington or Christchurch)",/job/55267197?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,Ergo Consulting Ltd,,Auckland,,Engineering,"Due to an on-going work programme, we have a need for GIS/Asset Data Technician’s in our Auckland, Wellington or Christchurch offices.",0-60000
57,Revenue Analyst,/job/55244371?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,KiwiRail,,Auckland,"['Develop your career with Kiwirail', '5 weeks annual leave', 'Access to discounted holiday homes and health insurance']",Accounting,Join an iconic NZ organisation that has been operating for over 150 years,0-60000
59,Master Data Management Specialist,/job/55213889?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,Neptune Pacific Direct Line,,Auckland,"['Challenging opportunity in a dynamic and fast-paced business', 'Great work environment, supportive and friendly team', 'Multinational organisation with career development opportunities']",Information & Communication Technology,Are you ready for a new and exciting challenge? Apply today to join a dynamic and diverse team reaching across the South Pacific.,0-60000
60,Data Entry Clerks - Expression of Interest,/job/55172967?type=standard#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,flexhive by Hudson,,Auckland,,Administration & Office Support,Calling out all experienced data entry and admin professionals looking for new temp opportunities.,0-60000
61,Data Administrator,/job/55152236?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,coHired,,Auckland,"['Full time, Monday to Friday', 'Join a fantastic hardworking team', 'Stable long term career opportunity']",Administration & Office Support,"This is a fantastic opportunity for a dynamic Systems Coordinator to join our enthusiastic, busy team in the Wurth Head Office.",0-60000
63,Casual Data Administrator - Mount Wellington,/job/55184262?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,T&G Global,,Auckland,"['Opportunity to GROW your career', 'Foot in the door opportunity', 'Join us in providing fresh fruit and veges to kiwis and the world']",Administration & Office Support,"We are looking for an experienced Data Administrator to join our Mt Wellington Transport Administration Team on a casual, on call basis.",0-60000
64,Database Administrator  Flexible Working location NZ,/job/55293138?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,"Database Solutions, a division of NTT Ltd",,Otago,"['Great team and client centric company culture', 'Position available New Zealand Wide', 'Insurance and Bonus included']",Information & Communication Technology,"Remote working is an option, come and join the specialists in database management now and in the future!",0-60000
65,Assistant Reporting Analyst,/job/55095190?type=standout#searchRequestToken=92eb55a2-7de4-4f82-81d7-0bb16e2669d9,Harvey Norman,,Auckland,"['Perfect if you like to tinker with excel, power bi, or general technology', 'Work Monday to Friday and have free car parking', 'Generous staff discounts at Harvey Norman Stores']",Information & Communication Technology,"Assistant level position great opportunity for a graduate or someone who enjoys programming, and is looking to take the next step in their career,",0-60000
66,Administrator/ Personal Assistant,/job/55285778?type=promoted#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Learning Leaders Ltd,"$50,000 - $54,999",Gisborne,,Administration & Office Support,"Friendship, lifestyle, community. Join our team and enjoy the benefits of collaborative success.",0-60000
68,Power BI Developer,/job/55220883?type=standard#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Smetric Insights,,Auckland,,Information & Communication Technology,Power BI developer role with rapidly growing company in great location,0-60000
69,Dispatch/Data Entry,/job/55192024?type=standout#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,MG Marketing,,Auckland,"[""Work for New Zealand's leading produce wholesaler"", 'Competitive Hourly Rate', 'On-site parking available']",Administration & Office Support,We are currently looking for an Dispatch/Data Entry Assistant to assist with running our office function in our successful Auckland Branch!,0-60000
70,Business Analyst,/job/55312589?type=standard#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Comspek International Limited,Competitive hourly rate,Wellington,,Information & Communication Technology,Great part time Business Analyst role that can be remote based,0-60000
71,Data Adminstrator,/job/55116552?type=standout#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,ProjectMax,,Wellington,"['Flexible Working Environment', 'Learn from the experts to become one.', 'Work on iconic projects']",Information & Communication Technology,Come and join the team at ProjectMax! Learn from the experts and become one yourself,0-60000
72,Data Cabling Technician - Auckland,/job/55226597?type=standard#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Cablenet Limited,,Auckland,,Trades & Services,"Installations of cabinet terminations, data cabling, fibre and infrastructure to support customers with installation of structured cabling solutions.",0-60000
73,Data Centre Technician 24/7 shift worker,/job/55239014?type=standout#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Datacom,,Wellington,,Information & Communication Technology,"Our purpose  Here at Datacom we connect people and technology in order to solve challenges, create opportunities and discover new possibilities",0-60000
74,Data Collection Coordinator - Logistics/Field Support,/job/55230932?type=standout#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Auckland UniServices Limited,,Auckland,"['Teacher survey collection', 'Fixed term 10 January - 26 August 2022', '40 hours per week based in Grafton']",Administration & Office Support,"Are you target driven, self-motivated, process oriented and would like to embrace the goals of our longitudinal study of child development?",0-60000
75,Data Cabling Technician - Christchurch,/job/55226441?type=standard#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Cablenet Limited,,Canterbury,,Trades & Services,"Installations of cabinet terminations, data cabling, fibre and infrastructure to support customers with installation of structured cabling solutions.",0-60000
76,ESG Reporting Analyst,/job/55119044?type=standout#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,PwC NZ,,Auckland,"['Work for our market-leading firm taking your career to the next level', 'Enjoy benefits such as global opportunities and enhanced leave options', 'Reimagine the possible with a range of innovative and meaningful projects']",Information & Communication Technology,This is a fantastic opportunity for somebody who is passionate about Sustainability and data,0-60000
77,Real Time Analyst,/job/55293032?type=standout#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Hays Talent Solutions,,Auckland,,Call Centre & Customer Service,Exciting opportunity for an experience Real Time Analyst to join our Sales and Service contact centre team.,0-60000
78,Data Cabling Technician - Wellington,/job/55226702?type=standard#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Cablenet Limited,,Wellington,,Trades & Services,"Installations of cabinet terminations, data cabling, fibre and infrastructure to support customers with installation of structured cabling solutions.",0-60000
79,Graduate - Technology Associate - Auckland,/job/55294585?type=standout#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Infosys limited,,Auckland,"['Global leader in next-generation digital services and consulting', 'World Class Program', 'Multiple Positions Available']",Information & Communication Technology,Join a leading Global organization and start defining your career with Infosys today!,0-60000
81,Test Analyst - Big Data,/job/55178149?type=standard#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,,,Wellington,,Information & Communication Technology,Attra Pty is hiring Test Analysts - Big Data for a Wellington based role.,0-60000
82,Data Cabling Technician,/job/55243306?type=standard#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Vitel Cabling Ltd,,Northland,,Trades & Services,Vitel Cabling is looking for a Data Cabling Technician to join our progressive and innovative team in Whangarei.,0-60000
83,Data Science Intern,/job/54975353?type=standard#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Xtracta Limited,,Auckland,,Information & Communication Technology,Summer internship role for fast growing company in AI/ML space.,0-60000
84,Business Analyst - Digital Eco System,/job/55316951?type=standard#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Comspek International Limited,,Auckland,,Information & Communication Technology,Our FMCG client is looking for a Business Analyst with experience working on Payroll projects,0-60000
85,DICKER DATA - Inside Sales Representative,/job/55302683?type=standout#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,AssessAdvantage,,Auckland,"[""New Zealand's 2nd Largest IT Distributor, brands include HP & Lenovo,"", 'Suit someone looking to start or develop their career in IT Sales', 'Young, fun, high performing team']",Sales,Join the commercial sales team at one of New Zealand's largest technology distributors.,0-60000
86,Technical Analyst - Graduate Opportunity,/job/55304842?type=standout#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Adaptiv Integration,,Auckland,"['Graduate / Entry Level IT Position Available', 'Work for a Middleware Integration Software House', 'Permanent Opportunity Located in Ponsonby']",Information & Communication Technology,"Are you a recent Graduate looking for an opportunity to get into the IT industry, by joining a successful Kiwi-Born company? Then look not further!",0-60000
87,Propulsion Engineer I- Test & Data Handling,/job/55272963?type=standout#searchRequestToken=b03c0b13-758a-47c3-936a-c2c7b0d68955,Rocket Lab,,Auckland,"['Work on Propulsion Enhancements for new Space Vehicles', 'Get involved in our upcoming Interplanetary Mission projects', 'On site Gym & Parking, and healthy meals in-house everyday']",Engineering,"Join the Propulsion Team that launched the world's first 3D-printed, electric-pump-fed rocket engines! Come and see what we're building next...",0-60000
88,Administrator - Part Time,/job/55258687?type=promoted#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Smart Environmental,,Bay of Plenty,"['Rotorua Based', 'Flexible Part-time work', 'Great renumeration']",Administration & Office Support,"Offering excellent, renumeration, team environment and flexibility - bring your professional Admin skills and experience!",0-60000
89,Production Systems Support,/job/55144793?type=promoted#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Auckland Meat Processors,,Auckland,"['Exciting challenges with ample opportunities for development and training', 'An excellent salary package', 'A busy role that will require you to manage multiple lead times']","Manufacturing, Transport & Logistics","Are you experienced and comfortable around computers, familiar with network and systems administration; we want to hear from you!",0-60000
90,DICKER DATA - Graphic Designer,/job/55224374?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,AssessAdvantage,,Auckland,"[""New Zealand's 2nd Largest IT Distributor, brands include HP & Apple."", 'Drive sales growth through your creativity and design', 'Join a young, fun, high performing team.']",Design & Architecture,Join the marketing team at one of New Zealand's largest technology distributors.,0-60000
91,Data Entry and Administration,/job/55063107?type=standard#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Kinetic Recruitment,,Auckland,,Administration & Office Support,"Are you looking to get your foot in the door to a well-known, nationwide company? This 6-month contract role is for you!",0-60000
92,Billing Analyst,/job/55184535?type=standard#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Halls,,Auckland,,Accounting,"•	Nationwide Essential Service Business
•	Career development opportunities within the business
•	Working with a great team",0-60000
93,Video Data Collection Project for English Speakers in New Zealand,/job/55145459?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Appen,,Auckland,"['Work From Home', 'Part Time', 'Flexible Schedule']",Information & Communication Technology,Do you like having video calls using your phone? Would you be excited about testing a new feature on the Messaging App? This project is for you!,0-60000
94,Data Cabling Technicians - Palmerston North,/job/55162397?type=standard#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Cablenet Limited,,Manawatu,,Trades & Services,"The role will include a variety of work such as installation of cabinet terminations, data cabling, fibre and infrastructure.",0-60000
95,Digital Analyst - Fixed Term,/job/55228831?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,SBS Bank,,Southland,"['Competitive Salary', 'Great Working Environment', 'Health subsidies']",Information & Communication Technology,We are looking for a Digital Analyst to join our Invercargill based team on a 12 month fixed term contract.,0-60000
96,Data Entry – Business Support,/job/54985512?type=standard#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Kinetic Recruitment,,Canterbury,,Administration & Office Support,Great opportunity to work for a well respected government agency and earn some extra cash over the summer!,0-60000
97,Nursecall/Data/Access Control Service Technician,/job/55224798?type=standard#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Guild and Spence Technologies Ltd,$21 - $30 per hour,Wellington,,Trades & Services,"Nursecall, Data, Security, MATV Systems",0-60000
98,Operations Analyst,/job/55119299?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,NZX Talent,,Auckland,"['Permanent Full time position', 'Become a part of a culture that nurtures talent', 'North Shore Albany location']",Banking & Financial Services,We are looking to recruit an enthusiastic Operations Analyst to Join our NZX Wealth Technologies team based in Albany.,0-60000
99,Manufacturing Data Administrator - Fuel Systems,/job/55142086?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Gallagher,,Manawatu,"['Privately owned company', 'Exciting future', 'Competitive Package']","Manufacturing, Transport & Logistics","An exciting role, responsible for creating manufacturing data, and back up to the production planning department.",0-60000
100,Data Analyst - SAS and SQL - 6 month contract,/job/54972927?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Talent – Winner SEEK Large Recruitment Agency of the Year 2019,Competitive,Auckland,"['6 month contract', 'SAS and SQL', 'Auckland Central']",Information & Communication Technology,6 month contract - Data Analysis using SQL primarily and some SAS - Auckland CBD - well known brand!,0-60000
101,Data Entry – Business Support,/job/54985432?type=standard#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Kinetic Recruitment,,Manawatu,,Administration & Office Support,Great opportunity to work for a well respected government agency and earn some extra cash over the summer!,0-60000
102,Real-Time Analyst,/job/55225629?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Concentrix,,Auckland,"['Work from home opportunity - equipment provided', 'Full-time opportunity', 'January 2022 start date']",Call Centre & Customer Service,Join our Real-Time Analyst team for an exciting project in the new year. Maintain our clients call centre service levels on a work from home basis.,0-60000
103,ELV Data/Nursecall/Security Technician,/job/55244853?type=standard#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Guild and Spence Technologies Ltd,,Hawkes Bay,,Trades & Services,ELV Data/Security Technician role available within a great technologies company!,0-60000
104,Data Entry - Accounts Payable,/job/55127690?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Harvey Norman,,Auckland,"['Take the next step in your administrative career', 'Work Monday to Friday and have free car parking', 'Generous staff discounts at Harvey Norman Stores']",Administration & Office Support,We are looking for someone with speed and accuracy to join our Harvey Norman team!,0-60000
105,Data Transfer Officer,/job/54931459?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Mediterranean Shipping Company,,Canterbury,"['Opportunity to learn the shipping industry', 'Southern Cross Insurance', 'Problem solving and thinking outside of the square required']",Administration & Office Support,This role forms a vital part of our highly effective and specialised data transfer team whilst contributing to the wider customer services team.,0-60000
106,Property Rights Analyst - Titles,/job/55245819?type=standard#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Land Information New Zealand,,Wellington,,Real Estate & Property,Do you want to join a supportive team environment and contribute to the outcomes of Toitū Te Whenua?,0-60000
107,Data Engineer,/job/55043003?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Westpac,,Auckland,"['Britomart office & work from home flexibility', 'Competitive hourly rate', 'Critical project - bring your expertise!']",Information & Communication Technology,Data Engineer Contract opportunity Britomart location &amp; work from home flexibility Critical project – great team environment For over 160 y...,0-60000
108,Data Entry / Administrator,/job/54957461?type=standard#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Logistics & Transport Recruitment Ltd,,Auckland,,Administration & Office Support,We need someone with better than average excel skills for a temp assignment,0-60000
109,Data Cabling Technician,/job/55074145?type=standout#searchRequestToken=8913bd9f-c058-46d7-97dd-266e4190dfc0,Aotea Electric Nelson Ltd,,Tasman,,Trades & Services,Data technicians to join our team in Nelson’s Communication department due to experiencing considerable growth in the communications field.,0-60000
111,Emerging Maori Leaders and Maori First Time Principals Administrator,/job/55315830?type=promoted#searchRequestToken=1265d266-8b60-4ea3-8b7f-e79bd4827424,Te Akatea - New Zealand Māori Principals Association,"$55,000 - $64,999",Bay of Plenty,"['A role that makes a difference', 'Valued and varied administration', 'Fun, friendly and whānau focused']",Administration & Office Support,"Come with us, it's a new dawn for Māori transformative leadership.",0-60000
112,Geospatial Technician,/job/55323330?type=standout#searchRequestToken=1265d266-8b60-4ea3-8b7f-e79bd4827424,Victoria University of Wellington,,Wellington,"['Utilise your knowledge of New Zealand geospatial data sets and data providers', 'Work autonomously as well as contributing positively to a team', 'Bring your effective time management skills']",Science & Technology,Opportunity for a 0.8 FTE Geospatial Technician on a 12-month fixed-term contract working 4 days per week.,0-60000
113,Intermediate Data Administrator/BI Report Analyst,/job/54955444?type=standard#searchRequestToken=1265d266-8b60-4ea3-8b7f-e79bd4827424,Mercury IT,,Wellington,,Information & Communication Technology,An opportunity to learn new skills and work in an awesome team with a great supportive culture and fantastic clients,0-60000
